epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1414.63,0.98478,0.55543,1.11538,0.92215,0.88672,0.93011,0.57059,1.34668,0.61892,1.4632,0.000198202,0.000198202,0.000198202
89,1430.13,1.0014,0.57116,1.12684,0.93177,0.8822,0.93315,0.57143,1.34731,0.62824,1.46657,0.000184055,0.000184055,0.000184055
90,1445.62,0.97688,0.55629,1.11196,0.9074,0.88506,0.92944,0.57071,1.3459,0.63015,1.46398,0.000169908,0.000169908,0.000169908
91,1483,0.88693,0.45954,1.04401,0.90379,0.89669,0.9353,0.57111,1.3425,0.62484,1.46729,0.000155761,0.000155761,0.000155761
92,1498.24,0.87814,0.45461,1.04164,0.91733,0.88845,0.93635,0.57262,1.34887,0.63647,1.4681,0.000141614,0.000141614,0.000141614
93,1513.57,0.88303,0.45683,1.04869,0.90692,0.89636,0.93539,0.5731,1.34976,0.63499,1.47745,0.000127467,0.000127467,0.000127467
94,1528.73,0.87002,0.44493,1.03373,0.92597,0.88124,0.93446,0.57533,1.34906,0.64099,1.48458,0.00011332,0.00011332,0.00011332
95,1544.17,0.86358,0.44908,1.03585,0.92489,0.88311,0.93277,0.56848,1.35748,0.643,1.49134,9.91726e-05,9.91726e-05,9.91726e-05
96,1559.59,0.86332,0.44572,1.02957,0.89894,0.90287,0.93339,0.57087,1.35341,0.6332,1.49279,8.50255e-05,8.50255e-05,8.50255e-05
97,1575,0.84311,0.43446,1.02459,0.89343,0.90189,0.93145,0.57731,1.3516,0.63364,1.48328,7.08784e-05,7.08784e-05,7.08784e-05
98,1590.24,0.85322,0.44153,1.02343,0.91589,0.88172,0.93402,0.57604,1.3468,0.63549,1.48723,5.67313e-05,5.67313e-05,5.67313e-05
99,1605.59,0.83958,0.43408,1.02013,0.92701,0.87908,0.93329,0.57681,1.35523,0.6417,1.49276,4.25842e-05,4.25842e-05,4.25842e-05
100,1620.91,0.84364,0.43649,1.01932,0.92564,0.87723,0.93443,0.5752,1.35396,0.63603,1.49659,2.84371e-05,2.84371e-05,2.84371e-05
